book_slug,count
52578297-the-midnight-library,13
40189670-josh-and-hazel-s-guide-to-not-dating,13
2998.The_Secret_Garden,13
18373.Flowers_for_Algernon,13
6644117-the-iron-king,13
10569.On_Writing,12
127455.The_Lies_of_Locke_Lamora,12
18189606-since-you-ve-been-gone,12
22544764-uprooted,12
31450908-down-among-the-sticks-and-bones,12
7741325-dash-lily-s-book-of-dares,12
9917938-blood-red-road,12
25446343-muse-of-nightmares,12
26228034-the-obelisk-gate,12
15724396-the-sword-of-summer,12
49552.The_Stranger,12
5759.Fight_Club,12
12996.Othello,12
34002132-oathbringer,12
304027.Lover_Unbound,12
17061.Coraline,12
41899.Fantastic_Beasts_and_Where_to_Find_Them,12
50898148-fangs,12
54189398-the-spanish-love-deception,12
485894.The_Metamorphosis,12
2956.The_Adventures_of_Huckleberry_Finn,12
10818853-fifty-shades-of-grey,12
51335759-good-girl-bad-blood,12
27252717-the-score,12
29056083-harry-potter-and-the-cursed-child,12
150037.The_Vile_Village,12
131123.The_Austere_Academy,12
4502507-the-last-olympian,12
49127718-anxious-people,12
52439531-the-inheritance-games,12
12294652-my-life-next-door,12
17333223-the-goldfinch,12
25883848-the-hating-game,12
29589074-truly-devious,12
37868569-we-set-the-dark-on-fire,12
54814676-crying-in-h-mart,12
6339664-hush-hush,12
8235178-across-the-universe,12
9593911-pandemonium,12
13372690-slammed,12
8709527-bloodlines,12
214331246-sunrise-on-the-reaping,12
58064046-gallant,12
7244.The_Poisonwood_Bible,12
12873.Rebecca,12
18512.The_Return_of_the_King,12
320.One_Hundred_Years_of_Solitude,12
41880609-on-earth-we-re-briefly-gorgeous,12
38255342-the-dark-descent-of-elizabeth-frankenstein,12
53103895-one-to-watch,12
31423196-defy-the-stars,12
50729853-watch-over-me,12
56803179-the-woman-in-the-library,12
10176.Dress_Your_Family_in_Corduroy_and_Denim,12
15753977-legend,12
30524238-barbarian-s-touch,12
32025142-white-fur,12
36039614-the-loneliest-girl-in-the-universe,12
42815556-spin-the-dawn,12
51934838-catherine-house,12
49629448-a-song-of-wraiths-and-ruin,12
41961994-the-library-of-the-unwritten,12
43521785-bringing-down-the-duke,12
44600621-dear-girls,12
36206591-love-and-other-words,12
58340706-one-dark-window,12
62926938-the-seven-year-slip,12
6334.Never_Let_Me_Go,12
18122.The_Amber_Spyglass,12
9673436-the-invention-of-hugo-cabret,12
13497.A_Feast_for_Crows,12
6408862-stolen,12
9516.Persepolis,12
10194514-pushing-the-limits,12
7747064-the-iron-daughter,12
4214.Life_of_Pi,11
14050.The_Time_Traveler_s_Wife,11
7664334-amy-roger-s-epic-detour,11
39863498-the-gilded-wolves,11
43641.Water_for_Elephants,11
8835379-ruby-red,11
2156.Persuasion,11
853510.Murder_on_the_Orient_Express,11
18293427-the-storied-life-of-a-j-fikry,11
7144.Crime_and_Punishment,11
92303.The_Importance_of_Being_Earnest,11
15241.The_Two_Towers,11
14891.A_Tree_Grows_in_Brooklyn,11
3950967-the-tales-of-beedle-the-bard,11
18460392-all-the-bright-places,11
52129515-untamed,11
128029.A_Thousand_Splendid_Suns,11
25564665-the-mistake,11
31931941-eliza-and-her-monsters,11
50027029-you-deserve-each-other,11
6931356-the-duff,11
28919058-autoboyography,11
830502.It,11
65111.The_Grim_Grotto,11
172327.The_Ersatz_Elevator,11
19486412-big-little-lies,11
35247769-always-and-forever-lara-jean,11
55404546-malibu-rising,11
13615.Death_Note_Vol_1,11
35504431-turtles-all-the-way-down,11
20910157-yes-please,11
7488244-unearthly,11
8591107-the-unbecoming-of-mara-dyer,11
8709526-the-indigo-spell,11
13362536-opal,11
13597723-the-naturals,11
60406379-i-m-glad-my-mom-died,11
61767292-icebreaker,11
6319.The_BFG,11
49116.Harry_Potter_and_the_Prisoner_of_Azkaban,11
11250317-the-song-of-achilles,11
3682.A_Great_and_Terrible_Beauty,11
11588.The_Shining,11
17245.Dracula,11
17286683-men-we-reaped,11
57773248-notes-on-an-execution,11
34454589-the-handmaid-s-tale,11
33080122-the-calculating-stars,11
33916061-we-were-eight-years-in-power,11
39391177-i-m-afraid-of-men,11
39937621-the-confessions-of-frannie-langton,11
43386674-over-the-top,11
44077284-the-southern-book-club-s-guide-to-slaying-vampires,11
62202008-divine-rivals,11
88061.Dreams_from_My_Father,11
218042.All_About_Love,11
31450673-the-goose-girl,11
17899351-the-diviners,11
17606014-manage-your-day-to-day,11
18302455-the-circle,11
25372801-all-the-birds-in-the-sky,11
33572516-quackery,11
30288282-the-immortalists,11
30658435-one-day-we-ll-all-be-dead-and-none-of-this-will-matter,11
33224061-the-downstairs-girl,11
36692478-there-there,11
36586697-queenie,11
43568395-pet,11
38902427-i-might-regret-this,11
52007535-on-earth-we-re-briefly-gorgeous,11
49090524-heartstopper,11
56060300-heartstopper,11
56269064-rock-paper-scissors,11
55659629-it-happened-one-summer,11
58724801-the-bodyguard,11
61326735-love-theoretically,11
33.The_Lord_of_the_Rings,11
43317482-in-the-dream-house,11
1215032.The_Wise_Man_s_Fear,11
42900.Lover_Awakened,11
1238684.The_Stonekeeper,11
10626594-the-scorpio-races,11
12296.The_Scarlet_Letter,11
26074156-hunger,11
15839984-cruel-beauty,11
37415.Their_Eyes_Were_Watching_God,11
233093.The_Cat_in_the_Hat,11
12507214-girl-of-nightmares,11
22205.This_Lullaby,11
38619.Magic_Bites,11
10215349-the-immortal-rules,11
15195.The_Complete_Maus,11
138398.The_Walking_Dead_Vol_1,11
43615.The_Gunslinger,10
92625.The_Ones_Who_Walk_Away_from_Omelas,10
9681214-the-goddess-test,10
17342701-frozen-tides,10
24445517-maybe-someday,10
31817749-the-stone-sky,10
40864002-a-psalm-for-the-wild-built,10
51964.Old_Man_s_War,10
301082.Dead_Until_Dark,10
6137154-fire,10
18693763-everything-i-never-told-you,10
23692271-sapiens,10
2165.The_Old_Man_and_the_Sea,10
41716919-jade-war,10
3008.A_Little_Princess,10
76620.Watership_Down,10
32768522-carry-on,10
472331.Watchmen,10
45857086-the-burning-god,10
18710190-allegiant,10
30183.Marked,10
324277.The_Carnivorous_Carnival,10
65605.The_Magician_s_Nephew,10
65119.The_Miserable_Mill,10
2118745.The_Knife_of_Never_Letting_Go,10
17199504-the-bone-season,10
19057.I_Am_the_Messenger,10
6584188-it-s-not-summer-without-you,10
7090447-the-red-pyramid,10
13262783-every-day,10
15283043-the-distance-between-us,10
31434883-eleanor-oliphant-is-completely-fine,10
29283884-the-gentleman-s-guide-to-vice-and-virtue,10
17878931-red-queen,10
181344829-bride,10
6442769-paper-towns,10
60435878-carrie-soto-is-back,10
55475489-thrive,10
10614.Misery,10
37683751-from-lukov-with-love,10
4588.Extremely_Loud_Incredibly_Close,10
23807.The_Silence_of_the_Lambs,10
22034.The_Godfather,10
930.Memoirs_of_a_Geisha,10
5886881-dark-places,10
15014.Crucial_Conversations,10
2599523-the-boat,10
7696135-making-ideas-happen,10
18077903-creativity-inc,10
20501606-futuristic-violence-and-fancy-suits,10
30214139-the-girls,10
25733994-the-productivity-project,10
25814544-sprint,10
36222363-the-power,10
